Bureau de l'ASFC,Emplacement,Mise à jour,Débit / Expéditions commerciales,Débit / Voyageurs
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 10:47 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 11:48 PDT,Aucun délai,5
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 13:08 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 13:45 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 14:55 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 15:54 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 16:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 17:52 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 19:04 PDT,Aucun délai,25
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 19:52 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 20:53 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 21:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 22:47 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-07 23:50 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 01:48 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 04:36 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 05:28 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 06:36 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 08:04 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 08:04 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 08:04 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 08:04 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 08:50 PDT,Aucun délai,10
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 09:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 11:08 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 11:51 PDT,Aucun délai,Aucun délai
Abbotsford-Huntingdon,"Huntingdon, BC",2015-04-08 12:52 PDT,Aucun délai,Aucun délai
