"","Site","Meter","Unit","Date","Time","Value"
"108","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-24,"00:00",159.8
"109","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-25,"00:00",159.8
"110","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-26,"00:00",180.58
"111","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-27,"00:00",157.02
"112","Total DFID UK Energy","Total DFID UK Grid Electricity","kWh",2011-02-28,"00:00",151.02
"113","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-01,"00:00",0
"114","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-02,"00:00",0
"115","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-03,"00:00",29.302
"116","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-04,"00:00",0
"117","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-05,"00:00",0
"118","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-06,"00:00",0
"119","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-07,"00:00",0
"120","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-08,"00:00",112.7
"121","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-09,"00:00",0
"122","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-10,"00:00",0
"123","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-11,"00:00",0
"124","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-12,"00:00",0
"125","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-13,"00:00",0
"126","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-14,"00:00",37.191
"127","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-15,"00:00",0
"128","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-16,"00:00",23.667
"129","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-17,"00:00",0
"130","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-18,"00:00",0
"131","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-19,"00:00",0
"132","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-20,"00:00",0
"133","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-21,"00:00",0
"134","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-22,"00:00",0
"135","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-23,"00:00",0
"136","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-24,"00:00",0
"137","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-25,"00:00",0
"138","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-26,"00:00",0
"139","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-27,"00:00",0
"140","Total DFID UK Energy","Total DFID UK Natural Gas","kWh",2011-02-28,"00:00",0
"141","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-01,"00:00",250.82
"142","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-02,"00:00",195.36
"143","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-03,"00:00",233.442
"144","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-04,"00:00",198.14
"145","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-05,"00:00",183.36
"146","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-06,"00:00",180.58
"147","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-07,"00:00",165.8
"148","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-08,"00:00",287.28
"149","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-09,"00:00",168.58
"150","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-10,"00:00",177.36
"151","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-11,"00:00",183.36
"152","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-12,"00:00",165.8
"153","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-13,"00:00",180.58
"154","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-14,"00:00",200.211
"155","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-15,"00:00",165.8
"156","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-16,"00:00",198.247
"157","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-17,"00:00",171.8
"158","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-18,"00:00",174.58
"159","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-19,"00:00",165.8
"160","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-20,"00:00",165.8
"161","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-21,"00:00",159.8
"162","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-22,"00:00",177.8
"163","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-23,"00:00",165.8
"164","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-24,"00:00",159.8
"165","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-25,"00:00",159.8
"166","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-26,"00:00",180.58
"167","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-27,"00:00",157.02
"168","Total DFID UK Energy","Total DFID UK Energy","kWh",2011-02-28,"00:00",151.02
"169","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-01,"00:30",78
"170","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-02,"00:30",78
"171","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-03,"00:30",84
"172","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-04,"00:30",78
"173","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-05,"00:30",78
"174","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-06,"00:30",78
"175","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-07,"00:30",78
"176","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-08,"00:30",84
"177","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-09,"00:30",78
"178","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-10,"00:30",84
"179","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-11,"00:30",78
"180","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-12,"00:30",78
"181","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-13,"00:30",78
"182","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-14,"00:30",72
"183","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-15,"00:30",78
"184","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-16,"00:30",78
"185","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-17,"00:30",78
"186","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-18,"00:30",78
"187","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-19,"00:30",78
"188","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-20,"00:30",78
"189","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-21,"00:30",78
"190","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-22,"00:30",78
"191","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-23,"00:30",78
"192","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-24,"00:30",72
"193","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-25,"00:30",84
"194","Abercrombie House","Total Grid Electricity AH","kWh",2011-02-26,"00:30",84
