"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"587","Department for Education","Department for Education ","People and Change","DFE-1057","EA/AO",15266,24858,"Communications Manager",1,"Communications"
"588","Department for Education","Department for Education ","People and Change","DFE-1057","Grade 6",55431,69187,"Senior Communications Manager",1,"Communications"
"589","Department for Education","Department for Education ","People and Change","DFE-1011","HEO",25000,40828,"Senior Operational Researcher",1,"Operational Research"
"590","Department for Education","Department for Education ","People and Change","DFE-1057","EO",21916,32232,"Communications Manager",1,"Communications"
"591","Department for Education","Department for Education ","People and Change","DFE-1011","Grade 7",45300,57222,"Senior HR Manager",1,"Human Resources"
"592","Department for Education","Department for Education ","People and Change","DFE-1057","Grade 6",55431,69187,"Senior HR Manager",0.84,"Human Resources"
"593","Department for Education","Department for Education ","People and Change ","DFE-1058","HEO",25000,40828,"HR Officer",1,"Human Resources"
"594","Department for Education","Department for Education ","People and Change","DFE-1057","HEO",25000,40828,"HR Officer",1,"Human Resources"
"595","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","HEO",25000,40828,"Policy Adviser",5.68,"Policy"
"596","Department for Education","Department for Education ","Acadamies Policy and Schools Organisation ","DFE-1086","EO",21916,32232,"Policy Adviser",2,"Policy"
"597","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","SEO",33200,49008,"Policy Adviser",10.95,"Policy"
"598","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"599","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","EO",21916,32232,"Policy Adviser",4,"Policy"
"600","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"601","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1070","EA/AO",15266,24858,"Policy Adviser",1.7,"Policy"
"602","Department for Education","Department for Education ","Families Group ","DFE-1039","SEO",33200,49008,"Senior Analyst",1,"Operational Research"
"603","Department for Education","Department for Education ","Families Group ","DFE-1039","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"604","Department for Education","Department for Education ","Families Group ","DFE-1039","SEO",33200,49008,"Generalist",1,"Other"
"605","Department for Education","Department for Education ","Families Group ","DFE-1039","HEO",25000,40828,"Policy Support Officer",1,"Policy"
"606","Department for Education","Department for Education ","Families Group ","DFE-1039","SEO",33200,49008,"Policy Adviser",2.52,"Policy"
"607","Department for Education","Department for Education ","Families Group ","DFE-1039","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"608","Department for Education","Department for Education ","Families Group ","DFE-1039","HEO",25000,40828,"Policy Adviser",1,"Policy"
"609","Department for Education","Department for Education ","Families Group ","DFE-1039","EA/AO",15266,24858,"Policy Adviser",1,"Policy"
"610","Department for Education","Department for Education ","Families Group ","DFE-1039","HEO",25000,40828,"Economist",1,"Economics"
"611","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","Grade 7",45300,57222,"Senior IT Manager",7.8,"Information Technology"
"612","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","Grade 6",55431,69187,"Senior IT Manager",2,"Information Technology"
"613","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","SEO",33200,49008,"IT Manager",10,"Information Technology"
"614","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","Grade 7",45300,57222,"Senior IT Manager",8,"Information Technology"
"615","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","HEO",25000,40828,"IT Manager",20,"Information Technology"
"616","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","EO",21916,32232,"IT Support Officer",30.81,"Information Technology"
"617","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","Grade 7",45300,57222,"IT Manager",1,"Information Technology"
"618","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","HEO",25000,40828,"IT Manager",8,"Information Technology"
"619","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","Grade 6",55431,69187,"Senior IT Manager",2,"Information Technology"
"620","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","HEO",25000,40828,"Policy Adviser",1,"Policy"
"621","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","HEO",25000,40828,"IT Support Officer",3,"Information Technology"
"622","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","SEO",33200,49008,"IT Manager",7,"Information Technology"
"623","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","SEO",33200,49008,"IT Manager",8.8,"Information Technology"
"624","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","Grade 7",45300,57222,"Senior IT Manager",5.86,"Information Technology"
"625","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","EO",21916,32232,"IT Support Officer",1,"Information Technology"
"626","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","HEO",25000,40828,"IT Manager",1,"Information Technology"
"627","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","Grade 7",45300,57222,"IT Manager",1,"Information Technology"
"628","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","EO",21916,32232,"IT Support Officer",7,"Information Technology"
"629","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","HEO",25000,40828,"IT Support Officer",2,"Information Technology"
"630","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","Grade 7",45300,57222,"IT Manager",4,"Information Technology"
"631","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","SEO",33200,49008,"IT Manager",5,"Information Technology"
"632","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","Grade 6",55431,69187,"Senior IT Manager",2,"Information Technology"
"633","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","EO",21916,32232,"IT Support Officer",3,"Information Technology"
"634","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","SEO",33200,49008,"Generalist",1,"Other"
"635","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","HEO",25000,40828,"IT Manager",3,"Information Technology"
"636","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","Grade 7",45300,57222,"Senior IT Manager",1,"Information Technology"
"637","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1023","Grade 7",45300,57222,"IT Manager",1,"Information Technology"
"638","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","SEO",33200,49008,"Web Manager",6,"Communications"
"639","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","Grade 7",45300,57222,"Web Manager",2,"Communications"
"640","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","HEO",25000,40828,"IT Support Officer",7.6,"Communications"
"641","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","Grade 7",45300,57222,"Senior IT Manager",6,"Information Technology"
"642","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","Grade 7",45300,57222,"IT Manager",2,"Information Technology"
"643","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","SEO",33200,49008,"IT Manager",7,"Information Technology"
"644","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","SEO",33200,49008,"Security Officer",5,"Property and asset management"
"645","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","HEO",25000,40828,"IT Manager",6,"Information Technology"
"646","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","EO",21916,32232,"IT Support Officer",13.05,"Information Technology"
"647","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","HEO",25000,40828,"IT Manager",0.65,"Information Technology"
"648","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","EA/AO",15266,24858,"IT Support Officer",1.59,"Information Technology"
"649","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","HEO",25000,40828,"Web Manager",3,"Communications"
"650","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","EO",21916,32232,"IT Support Officer",1.6,"Information Technology"
"651","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","SEO",33200,49008,"IT Manager",1.96,"Information Technology"
"652","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1020","EA/AO",15266,24858,"IT Support Officer",0.63,"Information Technology"
"653","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","Grade 6",55431,69187,"Senior IT Manager",2,"Information Technology"
"654","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","EO",21916,32232,"Web Manager",2,"Communications"
"655","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","EA/AO",15266,24858,"Operations Support Officer",15.7,"Property and asset management"
"656","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","Grade 7",45300,57222,"IT Manager",1,"Information Technology"
"657","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1004","Grade 6",55431,69187,"Senior IT Manager",1,"Information Technology"
"658","Department for Education","Department for Education ","People and Change","DFE-1055","HEO",25000,40828,"Generalist",1,"Human Resources"
"659","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1021","EA/AO",15266,24858,"IT Support Officer",1,"Information Technology"
"660","Department for Education","Teaching Agency ","Teaching Agency ","DFE-1191","Grade 7",45300,57222,"Operational Manager",0.98,"Operational Delivery"
"661","Department for Education","Department for Education ","Chief Information Officer Group ","DFE-1024","HEO",25000,40828,"Generalist",1,"Other"
"662","Department for Education","Department for Education ","Supporting Delivery Group ","DFE-1072","Grade 7",45300,57222,"Policy Support Officer",1,"Policy"
"663","Department for Education","Department for Education ","People and Change","DFE-1057","Grade 7",45300,57222,"HR Officer",0.92,"Human Resources"
"664","Department for Education","Department for Education ","People and Change","DFE-1057","EA/AO",15266,24858,"HR Officer",1,"Human Resources"
"665","Department for Education","Department for Education ","Safeguarding Group ","DFE-1061","SEO",33200,49008,"Senior Policy Adviser",1.78,"Policy"
"666","Department for Education","Department for Education ","Finance and Commercial Group ","DFE-1044","SEO",33200,49008,"Senior Procurement Officer",1,"Procurement"
"667","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","Grade 7",45300,57222,"Senior Operational Manager",2,"Property and asset management"
"668","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","HEO",25000,40828,"Operational Manager",10.5,"Property and asset management"
"669","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","EO",21916,32232,"Operations Support Officer",8,"Property and asset management"
"670","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","SEO",33200,49008,"Operational Manager",10,"Property and asset management"
"671","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","Grade 6",55431,69187,"Senior Operational Manager",3,"Property and asset management"
"672","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","HEO",25000,40828,"Operations Support Officer",1,"Property and asset management"
"673","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","EA/AO",15266,24858,"Policy Support Officer",2,"Policy"
"674","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","Grade 7",45300,57222,"Senior Policy Adviser",8,"Policy"
"675","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","SEO",33200,49008,"Policy Adviser",4,"Policy"
"676","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","Grade 7",45300,57222,"Project Manager",1,"Programme and Project Management (PPM)"
"677","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","Grade 6",55431,69187,"Senior Policy Adviser",2.9,"Policy"
"678","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","HEO",25000,40828,"Policy Adviser",2,"Policy"
"679","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","SEO",33200,49008,"Analyst",0.75,"Other"
"680","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1026","EO",21916,32232,"Policy Adviser",2,"Policy"
"681","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","Grade 7",45300,57222,"Senior Policy Adviser",7.8,"Policy"
"682","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","SEO",33200,49008,"Policy Adviser",5.65,"Policy"
"683","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","SEO",33200,49008,"Analyst",1,"Other"
"684","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","SEO",33200,49008,"Analyst",0.54,"Other"
"685","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","Grade 6",55431,69187,"Senior Policy Adviser",2.6,"Policy"
"686","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","HEO",25000,40828,"Policy Adviser",3,"Policy"
"687","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","HEO",25000,40828,"Correspondence Manager",1,"Policy"
"688","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","EO",21916,32232,"Policy Adviser",1,"Policy"
"689","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","EO",21916,32232,"Analyst",1,"Other"
"690","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1027","HEO",25000,40828,"Project Manager",1,"Programme and Project Management (PPM)"
"691","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","Grade 7",45300,57222,"Senior Policy Adviser",5.5,"Policy"
"692","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","HEO",25000,40828,"Policy Adviser",4,"Policy"
"693","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","Grade 6",55431,69187,"Senior Policy Adviser",2.27,"Policy"
"694","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","SEO",33200,49008,"Policy Adviser",2,"Policy"
"695","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","EO",21916,32232,"Policy Adviser",1,"Policy"
"696","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1028","EA/AO",15266,24858,"PERSONAL ASSISTANT",1,"Procurement"
"697","Department for Education","Teaching Agency ","Teaching Agency ","DFE-1186","Grade 7",45300,57222,"Operational Manager",1,"Operational Delivery"
"698","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1156","EO",21916,32232,"HR Support Officer",1,"Human Resources"
"699","Department for Education","Teaching Agency ","Teaching Agency ","DFE-1186","EO",21916,32232,"Operational Manager",1,"Operational Delivery"
"700","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1005","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"701","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1005","EO",21916,32232,"Policy Adviser",1,"Policy"
"702","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1005","SEO",33200,49008,"Programme Officer Manager",1,"Policy"
"703","Department for Education","Department for Education ","Curriculum and General Qualifications Group ","DFE-1005","HEO",25000,40828,"Policy Adviser",1,"Policy"
"704","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","Grade 6",55431,69187,"Senior Policy Adviser",3,"Policy"
"705","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","Grade 7",45300,57222,"Senior Policy Adviser",13.05,"Policy"
"706","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","HEO",25000,40828,"Policy Adviser",1,"Policy"
"707","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","EO",21916,32232,"Programme Support Officer",2.81,"Policy"
"708","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","HEO",25000,40828,"Senior Policy Adviser",1,"Policy"
"709","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","SEO",33200,49008,"Policy Adviser",1,"Policy"
"710","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","HEO",25000,40828,"Programme Support Officer",1,"Policy"
"711","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","Grade 7",45300,57222,"Generalist",1,"Other"
"712","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","HEO",25000,40828,"Generalist",1.65,"Other"
"713","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1034","SEO",33200,49008,"Generalist",1,"Other"
"714","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","HEO",25000,40828,"Statistician",9.28,"Statisticians"
"715","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","HEO",25000,40828,"Generalist",9,"Other"
"716","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 7",45300,57222,"Senior Statistician",4.2,"Statisticians"
"717","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","SEO",33200,49008,"Statistician",3.81,"Statisticians"
"718","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","EO",21916,32232,"Generalist",4,"Other"
"719","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","SEO",33200,49008,"Analyst",6.31,"Social Research"
"720","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","EO",21916,32232,"Analyst",4,"Social Research"
"721","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","HEO",25000,40828,"Operational Researcher",2.8,"Operational Research"
"722","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 6",55431,69187,"Generalist",1,"Other"
"723","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","SEO",33200,49008,"Operational Researcher",1,"Operational Research"
"724","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","SEO",33200,49008,"Generalist",1.8,"Other"
"725","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 7",45300,57222,"Senior Economist",1.6,"Economics"
"726","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 7",45300,57222,"Senior Operational Researcher",1,"Operational Research"
"727","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","EO",21916,32232,"Statistician",2,"Other"
"728","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 6",55431,69187,"Senior Operational Manager",1,"Operational Research"
"729","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","HEO",25000,40828,"Economist",1,"Economics"
"730","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","Grade 7",45300,57222,"Analyst",1,"Social Research"
"731","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","HEO",25000,40828,"Statistical Support Officer",1,"Statisticians"
"732","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1035","EO",21916,32232,"Policy Adviser",1,"Policy"
"733","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","Grade 7",45300,57222,"Senior Policy Adviser",6,"Policy"
"734","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","HEO",25000,40828,"Policy Adviser",7,"Policy"
"735","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","SEO",33200,49008,"Policy Adviser",6,"Policy"
"736","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","Grade 6",55431,69187,"Senior Policy Adviser",1.84,"Policy"
"737","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","EO",21916,32232,"Policy Adviser",4,"Policy"
"738","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1051","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
"739","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1052","EO",21916,32232,"Policy Adviser",2.76,"Policy"
"740","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1052","HEO",25000,40828,"Policy Adviser",4.51,"Policy"
"741","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1052","Grade 7",45300,57222,"Senior Policy Adviser",3.89,"Policy"
"742","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1052","Grade 6",55431,69187,"Senior Policy Adviser",2,"Policy"
"743","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1052","SEO",33200,49008,"Policy Adviser",0.81,"Policy"
"744","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","SEO",33200,49008,"Policy Adviser",2.7,"Policy"
"745","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","EO",21916,32232,"Policy Adviser",2,"Policy"
"746","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","Grade 6",55431,69187,"Not in post",1,"Policy"
"747","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","Grade 7",45300,57222,"Senior Policy Adviser",4,"Policy"
"748","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","HEO",25000,40828,"Policy Adviser",3,"Policy"
"749","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","Grade 6",55431,69187,"Senior Policy Adviser",1,"Policy"
"750","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1053","EA/AO",15266,24858,"Generalist",1,"Policy"
"751","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","EO",21916,32232,"Policy Adviser",3.06,"Policy"
"752","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","Grade 7",45300,57222,"Senior Policy Adviser",4.6,"Policy"
"753","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","HEO",25000,40828,"Policy Adviser",4.54,"Policy"
"754","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"755","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","Grade 6",55431,69187,"Senior Policy Adviser",2.86,"Policy"
"756","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","SEO",33200,49008,"Policy Adviser",3,"Policy"
"757","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","EA/AO",15266,24858,"Policy Support Officer",2,"Policy"
"758","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1054","HEO",25000,40828,"Finance Officer",0.83,"Policy"
"759","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1010","Grade 7",45300,57222,"Senior Policy Adviser",1,"Policy"
"760","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1010","EO",21916,32232,"Policy Support Officer",1,"Policy"
"761","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1010","Grade 7",45300,57222,"Policy Support Officer",1,"Policy"
"762","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1010","EA/AO",15266,24858,"Policy Support Officer",1,"Policy"
"763","Department for Education","Department for Education ","Participation and Vocational Education Group ","DFE-1010","EO",21916,32232,"PERSONAL ASSISTANT",1,"Policy"
"764","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EA/AO",15266,24858,"Generalist",11.39,"Operational Delivery"
"765","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EO",21916,32232,"Statistician",10.83,"Statisticians"
"766","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Statistician",19.09,"Statisticians"
"767","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","SEO",33200,49008,"Statistician",17.96,"Statisticians"
"768","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Project Manager",5.4,"Programme and Project Management (PPM)"
"769","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"Statistician",10.35,"Statisticians"
"770","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EO",21916,32232,"Generalist",19,"Operational Delivery"
"771","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 6",55431,69187,"Senior Statistician",2.67,"Statisticians"
"772","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"Generalist",2.6,"Operational Delivery"
"773","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Policy Adviser",3,"Policy"
"774","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EO",21916,32232,"Finance Officer",1,"Finance"
"775","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","SEO",33200,49008,"IT Support Officer",1,"Information Technology"
"776","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"Operational Manager",1,"Operational Delivery"
"777","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Generalist",9.76,"Operational Delivery"
"778","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","SEO",33200,49008,"Operations Support Officer",2,"Operational Delivery"
"779","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Security Officer",1,"Operational Delivery"
"780","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","SEO",33200,49008,"Generalist",3,"Operational Delivery"
"781","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","SEO",33200,49008,"Project Manager",0.71,"Programme and Project Management (PPM)"
"782","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 6",55431,69187,"Senior Operational Manager",1,"Operational Delivery"
"783","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"IT Manager",1,"Information Technology"
"784","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EA/AO",15266,24858,"PERSONAL ASSISTANT",1,"Operational Delivery"
"785","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"IT Support Officer",3,"Information Technology"
"786","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"Senior Statistician",0.89,"Statisticians"
"787","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","HEO",25000,40828,"Finance Officer",0.75,"Finance"
"788","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","Grade 7",45300,57222,"Programme Manager",1,"Programme and Project Management (PPM)"
"789","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EA/AO",15266,24858,"Operations Support Officer",1,"Property and asset management"
"790","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1067","EO",21916,32232,"Analyst",1,"Procurement"
"791","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1014","EO",21916,32232,"PERSONAL ASSISTANT",2,"Other"
"792","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1068","Grade 7",45300,57222,"Generalist",4.29,"Policy"
"793","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1068","HEO",25000,40828,"Generalist",3,"Policy"
"794","Department for Education","Department for Education ","Strategic Analysis Research and Policy Impact Group","DFE-1068","SEO",33200,49008,"Generalist",4,"Policy"
